MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF7-R1-2780-02,601,12.25,,,,,,,,,,,8.0,EMULTEX BN,321.0,,,,,,,4.8,,
MAF7-R1-2780-02,602,12.25,,,,,,,,,,,8.0,EMULTEX BN,340.0,,,,,,,4.7,,
MAF7-R1-2780-02,603,12.25,,,,,,,,,,,8.0,EMULTEX BN,340.0,,,,,,,4.7,,
MAF7-R1-2780-02,604,12.25,,,,,,,,,,,8.3,EMULTEX BN,328.0,,,,,,,5.0,,
MAF7-R1-2780-02,605,12.25,,,,,,,,,,,8.3,EMULTEX BN,328.0,,,,,,,5.0,,
MAF7-R1-2780-02,606,12.25,,,,,,,,,,,7.8,EMULTEX BN,311.0,,,,,,,4.8,,
MAF7-R1-2780-02,607,12.25,,,,,,,,,,,8.0,EMULTEX BN,320.0,,,,,,,4.9,,
MAF7-R1-2780-02,608,12.25,,,,,,,,,,,8.5,EMULTEX BN,346.0,,,,,,,5.2,,
MAF7-R1-2780-02,609,12.25,,,,,,,,,,,8.5,EMULTEX BN,346.0,,,,,,,5.1,,
MAF7-R1-2780-02,610,12.25,,,,,,,,,,,8.5,EMULTEX BN,346.0,,,,,,,5.0,,
MAF7-R1-2780-02,611,12.25,,,,,,,,,,,8.5,EMULTEX BN,346.0,,,,,,,5.1,,
MAF7-R1-2780-02,612,12.25,,,,,,,,,,,8.0,EMULTEX BN,328.0,,,,,,,4.8,,
MAF7-R1-2780-02,613,12.25,,,,,,,,,,,8.0,EMULTEX BN,320.0,,,,,,,4.8,,
MAF7-R1-2780-02,614,12.25,,,,,,,,,,,8.3,EMULTEX BN,328.0,,,,,,,4.9,,
MAF7-R1-2780-02,615,12.25,,,,,,,,,,,8.0,EMULTEX BN,320.0,,,,,,,4.7,,
MAF7-R1-2780-02,616,12.25,,,,,,,,,,,8.0,EMULTEX BN,320.0,,,,,,,4.8,,
MAF7-R1-2780-02,617,12.25,,,,,,,,,,,8.3,EMULTEX BN,328.0,,,,,,,5.0,,
